NPC,r_n107_56nm,r_n107_60nm,r_n107_4nm,r_n107_0nm,SSE_n107_56nm,SSE_n107_60nm,SSE_n107_4nm,SSE_n107_0nm,SSE_l_n107_56nm,SSE_l_n107_60nm,SSE_l_n107_4nm,SSE_l_n107_0nm,SSE_a_n107_56nm,SSE_a_n107_60nm,SSE_a_n107_4nm,SSE_a_n107_0nm,Cx_n107_56nm,Cy_n107_56nm,Cz_n107_56nm,Cx_n107_60nm,Cy_n107_60nm,Cz_n107_60nm,Cx_n107_4nm,Cy_n107_4nm,Cz_n107_4nm,Cx_n107_0nm,Cy_n107_0nm,Cz_n107_0nm,Tx_n107_56nm,Ty_n107_56nm,Tz_n107_56nm,Tx_n107_60nm,Ty_n107_60nm,Tz_n107_60nm,Tx_n107_4nm,Ty_n107_4nm,Tz_n107_4nm,Tx_n107_0nm,Ty_n107_0nm,Tz_n107_0nm,el_minor_n107_56nm,el_minor_n107_60nm,el_minor_n107_4nm,el_minor_n107_0nm,el_major_n107_56nm,el_major_n107_60nm,el_major_n107_4nm,el_major_n107_0nm,el_q_n107_56nm,el_q_n107_60nm,el_q_n107_4nm,el_q_n107_0nm,el_rot_n107_56nm,el_rot_n107_60nm,el_rot_n107_4nm,el_rot_n107_0nm,el_ssum_n107_56nm,el_ssum_n107_60nm,el_ssum_n107_4nm,el_ssum_n107_0nm,el_ssumXY_n107_56nm,el_ssumXY_n107_60nm,el_ssumXY_n107_4nm,el_ssumXY_n107_0nm,el_ssumZ_n107_56nm,el_ssumZ_n107_60nm,el_ssumZ_n107_4nm,el_ssumZ_n107_0nm,eCx_n107_56nm,eCy_n107_56nm,eCz_n107_56nm,eCx_n107_60nm,eCy_n107_60nm,eCz_n107_60nm,eCx_n107_4nm,eCy_n107_4nm,eCz_n107_4nm,eCx_n107_0nm,eCy_n107_0nm,eCz_n107_0nm,eTx_n107_56nm,eTy_n107_56nm,eTz_n107_56nm,eTx_n107_60nm,eTy_n107_60nm,eTz_n107_60nm,eTx_n107_4nm,eTy_n107_4nm,eTz_n107_4nm,eTx_n107_0nm,eTy_n107_0nm,eTz_n107_0nm
0,55.286485413481046,58.22659163749893,54.96754912106148,57.794323485560724,52.18638670608727,31.487497572263916,45.1137717770182,54.57900510323732,4.638585528430888,4.644629676110924,3.657375540609162,5.245833565712243,47.54780117765638,26.842867896152992,41.45639623640904,49.33317153752508,-1.0435316351926396,5.772809000388814,56.26400114666895,-1.1082951311584845,5.550252208216319,60.4474869155665,0.749767242389536,10.207153090531401,4.74263233327684,1.3246175075993667,9.413945649752284,0.8319314289138016,-0.23297290200382667,0.19504085960744333,-0.9527238267281368,-0.23501627895073596,0.19899181498484564,-0.9514040183839813,-0.1699895703127446,-0.06361854085866248,0.9833901704023198,-0.17419779887577405,-0.07104649377666616,0.9821443491609967,52.4,56.2,50.3,51.0,59.7,61.9,60.3,65.6,0.88,0.91,0.83,0.78,-0.392,-0.086,-0.192,-0.303,166.9,185.5,52.5,57.0,119.3,158.7,11.0,7.6,47.5,26.8,41.5,49.3,-1.0230285462964326,5.664003082016389,56.236712793800514,-0.7831710027987517,4.975571848855352,60.24697677801882,0.7780071316033804,10.195738082780338,4.746775429901918,1.367532335134672,9.468414682703164,0.8434831955314492,-0.23297290200382667,0.19504085960744333,-0.9527238267281368,-0.23501627895073596,0.19899181498484564,-0.9514040183839813,-0.1699895703127446,-0.06361854085866248,0.9833901704023198,-0.17419779887577405,-0.07104649377666616,0.9821443491609967
1,58.287154287596096,60.91827897700689,60.70805378414288,63.85131631812985,43.67912859576331,38.085424393671055,13.569292422315307,23.96576721330554,4.060509128198732,6.434105295484368,1.4455947645549196,1.3714376750058614,39.61861946756458,31.651319098186686,12.123697657760388,22.59432953829968,-1.2870985215112414,3.7295114136392096,54.15381361555675,-1.3366916007324783,5.854443161216166,57.521819636850644,6.1715251493886,-1.7474165383682831,6.81355288954251,7.8643278907190455,-1.3520256622755604,2.7754168471496974,-0.015453159826712212,0.2557038278521308,0.9666316528404902,-0.018012876020665137,0.2561726684092805,0.966463191361954,0.00493361611410005,0.08948579154197495,-0.9959758794991699,-0.003895949489545759,0.08790828337072137,-0.9961209541478322,54.4,53.5,59.3,62.9,63.1,70.2,62.2,64.9,0.86,0.76,0.95,0.97,-0.366,-0.381,-0.262,0.268,94.7,99.9,20.1,33.3,55.0,68.3,8.0,10.7,39.6,31.7,12.1,22.6,-1.4525547379338914,3.837938342789854,54.12248627168818,-1.6936749999950376,5.877000462636646,57.509187120766775,6.123204213838673,-1.7401294056520016,6.8139682589318955,7.81579632999204,-1.359160036310026,2.7749770470800077,-0.015453159826712212,0.2557038278521308,0.9666316528404902,-0.018012876020665137,0.2561726684092805,0.966463191361954,0.00493361611410005,0.08948579154197495,-0.9959758794991699,-0.003895949489545759,0.08790828337072137,-0.9961209541478322
2,60.574518977497846,63.19634434677505,60.59276735762883,63.45778233598891,72.62656701230314,62.39525948586775,104.07005124498842,98.93480840153663,4.672212782901541,4.415982356682024,2.4735640699193393,3.6097725365360915,67.9543542294016,57.979277129185725,101.59648717506909,95.32503586500053,-2.0056530893316236,0.607922476607338,55.27991551782798,-3.6075960981069275,-0.0189522407475871,58.7309310312552,4.681485972095192,0.6405001969777787,2.9236825303624507,4.62306215059939,-0.8663590510346787,-0.8524198572303897,0.1612704954756948,-0.18550568844130888,-0.9693190738064221,0.16454363729755692,-0.17906945529131624,-0.9699791346243285,-0.0884749522297879,-0.31641249440090513,-0.9444868004450534,-0.09701219799649179,-0.3130446544509182,-0.9447707011543038,54.5,57.5,58.3,59.9,67.5,69.6,63.3,67.7,0.81,0.83,0.92,0.89,-0.863,-0.78,-0.356,-0.292,78.0,68.5,125.8,141.5,10.0,10.5,24.2,46.1,68.0,58.0,101.6,95.3,-2.087126342919715,0.6500065258944027,55.25830646970793,-3.5833330505013965,0.036875651439206826,58.72474044433981,4.806091899662639,0.5826863303414745,2.9313782718602153,4.552265477215843,-0.9898759738414802,-0.8042235559913269,0.1612704954756948,-0.18550568844130888,-0.9693190738064221,0.16454363729755692,-0.17906945529131624,-0.9699791346243285,-0.0884749522297879,-0.31641249440090513,-0.9444868004450534,-0.09701219799649179,-0.3130446544509182,-0.9447707011543038
3,56.332399839519354,58.68785394292181,53.24121346772051,55.712157791944634,56.74271174208083,54.78778282368617,19.567646295038053,35.15167753580855,4.780426723179354,4.416137866714579,5.612091193926302,5.055065014534511,51.962285018901476,50.37164495697159,13.95555510111175,30.096612521274043,-5.623617531445403,-1.8679861522424577,56.2202624520993,-4.626058688945715,-2.456637626735068,60.19191715309371,-5.828391253685362,-1.7724608228438754,2.8499704388860145,-7.325308879024237,-1.0820307043355628,-1.0653947591545028,-0.11811842767980085,-0.002859460972956085,-0.9929953980383777,-0.11652711061252438,-0.014331805031695954,-0.9930841010996151,0.08035705472705007,-0.03843229032563322,-0.9960249509002873,0.07775709281524724,-0.02732930154357427,-0.9965976840200168,50.1,53.8,48.2,52.0,63.4,64.4,60.0,61.0,0.79,0.84,0.8,0.85,0.454,0.851,1.172,-1.505,59.6,86.4,105.5,135.2,7.7,36.1,91.5,105.1,52.0,50.4,14.0,30.1,-5.608492325094732,-1.837632860513561,56.21837587775134,-4.400960614893128,-2.4574584085065614,60.165516302591286,-5.978361058829201,-1.9584749492650182,2.8450486917715163,-7.574153197798663,-1.3428612502123094,-1.0776575752812196,-0.11811842767980085,-0.002859460972956085,-0.9929953980383777,-0.11652711061252438,-0.014331805031695954,-0.9930841010996151,0.08035705472705007,-0.03843229032563322,-0.9960249509002873,0.07775709281524724,-0.02732930154357427,-0.9965976840200168
4,62.38409223729718,65.45870889019787,64.02455238424591,67.0104203306889,54.9652649910161,70.62975158207044,22.50434531561281,46.427998955277594,9.648051592873289,8.386552292703241,1.6543404163767528,1.1714235605183032,45.31721339814281,62.2431992893672,20.85000489923606,45.25657539475929,5.210989962690508,-11.403012346451309,55.09509542890807,5.9977978378711265,-10.829161797498235,59.112479098354825,6.237458893319419,5.445925924336223,4.688447902620478,5.613845689843194,6.99425052997236,0.58617803204435,-0.11951955128468189,0.08457051634954027,0.9892233845927221,-0.1047535513100977,0.08559554053011331,0.9908078001960221,0.02519745676084431,0.02425439452321454,-0.999388219121627,0.01701773964461169,0.039011993733205574,-0.9990938198599512,50.8,55.6,63.0,65.4,77.7,78.0,65.3,68.7,0.65,0.71,0.97,0.95,-1.399,-1.472,0.12,-1.361,104.7,132.0,38.0,45.4,59.4,69.7,17.2,0.2,45.3,62.2,20.9,45.3,4.815198399746716,-10.617749840787097,54.98014173154265,5.56941989194341,-10.486493844312747,59.037585703491125,6.056859068236853,5.3553817823461785,4.681697022936249,5.482834815293299,6.915062466457573,0.5808544146967498,-0.11951955128468189,0.08457051634954027,0.9892233845927221,-0.1047535513100977,0.08559554053011331,0.9908078001960221,0.02519745676084431,0.02425439452321454,-0.999388219121627,0.01701773964461169,0.039011993733205574,-0.9990938198599512
5,53.970463828357225,56.64976857017008,54.114445175573564,56.599582415692694,44.62101477080691,45.62903240645652,19.84980670451249,9.342167593989712,5.042433875272145,4.200747658921956,3.9730382657240013,3.6301073958850574,39.57858089553476,41.42828474753456,15.876768438788488,5.7120601981046555,4.469015830375551,5.232256578952332,57.51605330896418,4.022906392693647,1.6976083235759512,60.388018699332406,-7.026128919408858,-2.34321981479704,4.281682780569602,-7.673199448966126,-3.5607717314757674,0.22237928976598342,-0.21225105831921576,-0.12046006686247657,0.9697622701125572,-0.22778636640202793,-0.11354838873396422,0.9670678025336601,0.0658607200010293,-0.03614110048978836,0.9971741003537613,0.06066953744441209,-0.03463636653365709,0.9975567800078485,48.9,52.0,49.9,52.2,60.3,62.2,59.1,61.6,0.81,0.84,0.84,0.85,1.117,1.311,1.164,1.212,98.8,78.5,49.3,20.3,59.2,37.1,33.4,14.5,39.6,41.4,15.9,5.7,4.6722239054462085,5.339126337089036,57.5738042330097,4.107339632370257,1.638258929442061,60.40093786876449,-6.89479803722392,-2.428477444431217,4.269918685398018,-7.712395545683893,-3.585665055564065,0.22389879701660628,-0.21225105831921576,-0.12046006686247657,0.9697622701125572,-0.22778636640202793,-0.11354838873396422,0.9670678025336601,0.0658607200010293,-0.03614110048978836,0.9971741003537613,0.06066953744441209,-0.03463636653365709,0.9975567800078485
6,58.642471590949434,61.56857359471044,59.57763331362199,62.308162923658955,37.55792958539511,21.907018946444982,142.92001287167605,132.2305674358745,4.541127998959704,3.072213252887649,5.6567538932366865,5.730102922316493,33.016801586435406,18.834805693557332,137.26325897843935,126.50046451355799,7.2769885549736655,-3.8524852947329977,57.9918442047122,6.019993143438791,-3.291503713343405,62.07531157325092,-13.769135132551945,-3.1791878532420776,3.4048815021238528,-15.432489735195922,-2.027097957851808,-0.9506763419024817,-0.14645792679635908,-0.167807555952054,-0.9748798386693155,0.1378806218001905,0.18023687998985805,0.9739114955803296,0.0291213837762376,-0.21508905418927343,0.976160152728496,0.02352668330985117,-0.21009392017284634,0.977398096928188,53.4,57.7,52.4,55.2,64.8,65.8,68.0,70.7,0.82,0.88,0.77,0.78,1.283,0.549,-0.172,-0.168,61.2,29.6,153.4,153.9,28.1,10.8,16.1,27.4,33.0,18.8,137.3,126.5,7.204645620637592,-3.8043804165788706,57.99443204584784,6.0041400110236,-3.2657456989242792,62.07278906026088,-13.977428594522042,-2.944643802294681,3.4627753341658036,-15.522012838714383,-2.080558547135021,-0.9600129296250761,-0.14645792679635908,-0.167807555952054,-0.9748798386693155,0.1378806218001905,0.18023687998985805,0.9739114955803296,0.0291213837762376,-0.21508905418927343,0.976160152728496,0.02352668330985117,-0.21009392017284634,0.977398096928188
7,53.78474987583937,55.75887165025324,52.589189360731545,55.302591715499254,10.690971836860339,8.33779989130375,37.035293951302926,56.10721864362768,1.2330971866179996,1.8975890294177993,7.396747669444623,5.784657083468411,9.457874650242339,6.44021086188595,29.638546281858304,50.32256156015927,9.34462288236324,-8.248649297928218,56.200846154245646,10.034985441429624,-6.3604062690335175,59.63042407304807,5.0482230550461935,-9.257141357405205,5.309389526131484,3.4684319905427787,-10.13661860708669,1.3833093938554335,-0.1626275931593508,0.15564696414196655,0.9743337664766555,0.1527562585451844,-0.15460069233561602,-0.9760963842800696,-0.11227909940807314,-0.05865733723198968,-0.991943910019596,-0.10697107308361503,-0.05646423074995266,-0.992657534182437,52.2,53.2,46.9,50.0,55.5,58.5,61.2,62.4,0.94,0.91,0.77,0.8,-1.09,-0.727,-0.092,-0.104,10.8,7.5,200.7,148.5,1.4,1.1,171.1,98.2,9.5,6.4,29.6,50.3,9.07149749534015,-8.232751131489174,56.15271867752531,10.029447207288815,-6.34965489378381,59.62785448051207,4.70653956253512,-9.210753088008635,5.345321903053321,3.7795439991217514,-9.995649904454437,1.3417646784417678,-0.1626275931593508,0.15564696414196655,0.9743337664766555,0.1527562585451844,-0.15460069233561602,-0.9760963842800696,-0.11227909940807314,-0.05865733723198968,-0.991943910019596,-0.10697107308361503,-0.05646423074995266,-0.992657534182437
8,56.41512594401941,59.33786314211285,57.90241446458255,60.8994103213753,21.654205214425183,32.578838632361666,87.85577028200498,68.47986657216768,7.985791643741436,7.010044483277372,6.190199627385745,5.126177266418068,13.668413570683747,25.568794149084297,81.66557065461924,63.35368930574962,2.1634512910515986,-4.039912518473152,55.635169411050946,2.8027330928015517,-6.702635986818934,59.25357357967993,-2.4339521784977416,-0.8408167957041642,8.26331934265993,-3.0199825177610142,-3.2206789208070905,4.666090554341925,-0.2081134002101039,0.01951033543031233,-0.9779100978435522,-0.21136566440399224,0.023601388195770068,-0.9771220652437911,0.06182688081419549,0.17796870094947836,0.982091939836155,0.06711987223507154,0.16332897519658385,0.9842858165250485,47.6,50.4,50.2,55.0,68.1,70.4,67.2,68.0,0.7,0.72,0.75,0.81,0.067,-0.048,-0.128,-0.124,88.4,53.5,108.9,111.7,74.7,27.9,27.2,48.3,13.7,25.6,81.7,63.4,2.4264072260755003,-4.148123115863564,55.577049672926975,3.0242234701866404,-6.722375626481216,59.205185210042806,-2.5818503737953113,-0.7804443442272054,8.261689838736439,-3.250957306324092,-2.984111204921728,4.642585832528546,-0.2081134002101039,0.01951033543031233,-0.9779100978435522,-0.21136566440399224,0.023601388195770068,-0.9771220652437911,0.06182688081419549,0.17796870094947836,0.982091939836155,0.06711987223507154,0.16332897519658385,0.9842858165250485
9,57.8782332468344,60.04525696145886,57.35579568710419,60.2659525427565,29.798220756011162,37.69673486805969,17.473352974110036,29.811806646037425,6.4204092728302005,8.488945554320939,4.026023088229333,4.720006640955078,23.37781148318096,29.207789313738754,13.447329885880704,25.091800005082348,-4.805626786797536,2.726609236056513,56.92255396423716,-5.97367948573618,2.6217867686293492,60.68982741088792,0.0198736221007392,6.499961560073611,5.7785865136642265,0.2754741653315471,8.45309700933034,1.916878352251258,-0.052537710515220194,0.016354308475822976,0.9984850151945681,-0.050775142400528904,0.002747102064032947,0.9987063323842781,-0.01601919839050326,0.20909102543115032,-0.977764965810841,-0.0133869669262854,0.21708029871910187,-0.9760619514275413,50.6,52.0,53.1,55.3,67.2,71.5,62.4,66.3,0.75,0.73,0.85,0.83,-1.406,-1.465,0.949,0.818,97.0,209.4,50.8,80.2,73.6,180.2,37.4,55.1,23.4,29.2,13.4,25.1,-4.503751181485577,2.4324122370112806,56.94325657000887,-6.687233396861904,2.189738017823443,60.65473809754683,-0.14004568267913783,6.676832637935923,5.819029703481618,0.1462634733908117,8.576238862134648,1.9460377815369605,-0.052537710515220194,0.016354308475822976,0.9984850151945681,-0.050775142400528904,0.002747102064032947,0.9987063323842781,-0.01601919839050326,0.20909102543115032,-0.977764965810841,-0.0133869669262854,0.21708029871910187,-0.9760619514275413
10,47.844510415895435,49.830802596983254,49.66840914431536,52.57636318403078,12.053609269431597,14.300955697538882,25.301979481854147,17.054641269637486,5.3799046036843166,5.877442033553558,7.074741665581373,6.596315628732698,6.67370466574728,8.423513663985323,18.227237816272773,10.458325640904789,-2.9790482857426057,0.6070004852382358,55.44602890127234,-3.0369233346188804,1.9852296175033428,59.409756853584135,-9.6171313736503,1.3887224525773765,-1.0214384534543397,-8.003217802101327,-0.914127601981161,-4.737467566761946,0.08354476871220747,-0.09131009667228651,-0.9923118148377159,0.0904426463159448,-0.08429653767669276,-0.9923276784727366,0.1216130473962994,0.040741933893427174,-0.9917410758487366,0.125146731076025,0.028345855660600217,-0.9917332343769941,41.9,45.0,42.5,45.4,55.5,56.9,59.7,62.0,0.75,0.79,0.71,0.73,0.717,0.907,1.031,0.8,61.1,131.4,113.8,86.9,54.4,123.0,95.6,76.4,6.7,8.4,18.2,10.5,-3.537248066753894,0.41800539636045875,55.416423779853346,-3.5370681274774993,2.04729191613798,59.35890061264959,-9.41005405439353,1.2608697422966624,-1.0012977759554011,-7.604056039605987,-0.8783575766216074,-4.68607499469122,0.08354476871220747,-0.09131009667228651,-0.9923118148377159,0.0904426463159448,-0.08429653767669276,-0.9923276784727366,0.1216130473962994,0.040741933893427174,-0.9917410758487366,0.125146731076025,0.028345855660600217,-0.9917332343769941
11,61.652406255163875,64.32305165182963,60.74893504169164,63.936698368409466,31.350955643146335,59.95912031329033,88.75129175275534,61.79122614364663,5.328472631425767,6.58581173360561,5.845167285237999,4.797410277497813,26.022483011720567,53.37330857968472,82.90612446751733,56.99381586614882,-0.6322514496009255,11.305210710501594,56.75620917442243,-0.5229173341388131,11.543886410926058,60.833493340926765,-0.592804934117446,7.849310488844567,3.435471275799112,-0.5607072372880367,7.962925795456937,-0.6293212072936095,0.04171714428786985,-0.010435768231759734,0.9990749594569359,0.05100569664459916,-0.010070980590084377,0.998647582613483,0.021818920916949862,-0.2505807788916227,-0.9678497858346032,0.024178711191959433,-0.24191354648994404,-0.9699965082152376,54.7,56.3,54.0,57.9,69.7,74.0,69.0,70.8,0.78,0.76,0.78,0.82,-0.554,-0.48,0.69,0.781,34.1,90.0,132.1,73.3,8.1,36.6,49.2,16.3,26.0,53.4,82.9,57.0,-0.6952778576885069,11.183193139610545,56.75756636454844,-0.40258005896602617,11.302796676089136,60.824915843978246,-0.8427010805943592,7.927136545243776,3.4096881651829447,-0.5910810602201291,7.899253885396724,-0.614198784111928,0.04171714428786985,-0.010435768231759734,0.9990749594569359,0.05100569664459916,-0.010070980590084377,0.998647582613483,0.021818920916949862,-0.2505807788916227,-0.9678497858346032,0.024178711191959433,-0.24191354648994404,-0.9699965082152376
12,60.03833826316972,62.60287654589102,58.51235578215723,61.1446239530612,4.389454801297158,14.03172561760048,56.91520068843272,50.87865255610454,2.5146337261183804,2.4162676935064344,5.011158318012592,4.994580048436342,1.8748210751787775,11.615457924094047,51.90404237042013,45.8840725076682,-6.965440245615739,2.2616591268628676,53.908762181608424,-7.084493853429506,2.3297203468379717,57.38484165944483,-4.537444211246649,3.874332601445568,4.309939442457721,-3.3920015013277105,4.757018780782101,0.5475360068091891,0.026483902222410458,0.10706558269749572,0.993899171910672,0.0225550129053978,0.10290852287076013,0.9944350694305766,-0.08726932951309892,0.04801661225993015,0.9950268685183398,-0.09231299487095058,0.04702700997686793,0.9946189075774656,57.5,61.4,51.8,54.5,62.9,64.3,66.0,68.6,0.91,0.95,0.79,0.8,0.849,0.831,0.469,0.376,22.9,49.9,53.9,49.2,21.0,38.3,2.0,3.3,1.9,11.6,51.9,45.9,-6.775799879537275,2.2750128531848715,53.90227043517695,-6.877286454535615,2.4327793617727074,57.36947693929237,-4.42344978677654,3.856277621339383,4.320808652438917,-3.414896594459628,4.756333591920591,0.5454434543596286,0.026483902222410458,0.10706558269749572,0.993899171910672,0.0225550129053978,0.10290852287076013,0.9944350694305766,-0.08726932951309892,0.04801661225993015,0.9950268685183398,-0.09231299487095058,0.04702700997686793,0.9946189075774656
13,60.0756523104106,63.035325907147595,59.01639156191369,61.83772814941325,34.99245477232178,45.83979325896877,55.022332141652385,43.6537765509235,3.672543530740435,3.4296816146150206,4.5643959642899015,5.313813744553364,31.31991124158134,42.41011164435375,50.457936177362484,38.33996280637014,2.8106602142740496,0.9146048544689813,55.97622300872853,1.5324089592942645,1.938126973574883,60.35406293261395,4.226399442974751,-4.648788191138362,1.923505268237252,4.602110197344058,-4.316922070088517,-2.3275051663471737,-0.04687568978815882,0.20579910446373417,-0.9774709194184805,-0.059619945973251084,0.20622117599054757,-0.9766874057830491,-0.0014732472744117713,-0.2067815968372168,0.9783860182729099,0.011292819127495066,-0.211513636702474,0.9773098043737449,57.0,60.2,54.8,56.7,64.0,66.5,64.4,68.4,0.89,0.9,0.85,0.83,-0.807,-0.815,-0.329,-0.113,99.6,93.1,117.7,113.1,68.3,50.7,67.3,74.8,31.3,42.4,50.5,38.3,2.844089095494768,1.2243296724176131,56.03983010645676,1.5757670278635694,1.9953007077663258,60.3634880863946,4.298543495853235,-4.7145700455100465,1.909710926731385,4.552074932520882,-3.9474828904792405,-2.2469713752576475,-0.04687568978815882,0.20579910446373417,-0.9774709194184805,-0.059619945973251084,0.20622117599054757,-0.9766874057830491,-0.0014732472744117713,-0.2067815968372168,0.9783860182729099,0.011292819127495066,-0.211513636702474,0.9773098043737449
14,54.316170990921506,57.037193117005025,56.94930741202295,59.46009089449997,16.852010922748953,28.923037355919906,102.92528248119966,68.97835947590639,3.1581184491174845,2.6300490504968628,3.8918156340979704,3.4696901333116568,13.69389247363147,26.292988305423044,99.03346684710169,65.50866934259473,-0.3910262798087168,-7.579488490845797,55.98499771815921,-2.092371832810741,-8.197746150000357,59.38800161190294,-1.9103889040643094,-0.22891054535463637,1.4106332108778143,-2.3956853715064286,1.0692979656856199,-2.587040090421309,-0.29063300547043497,-0.00670014394578855,0.9568111434354892,0.28975301921597574,-0.0025999598181911665,-0.9570979197888638,0.22561604969035395,0.055849384256272616,-0.9726141292415585,0.22366183453629027,0.052304655581096426,-0.9732623524910452,51.3,53.9,53.3,56.7,57.9,60.5,61.5,63.0,0.88,0.89,0.87,0.9,0.191,-0.106,0.631,0.62,45.7,40.2,163.7,125.0,32.0,13.9,64.6,59.5,13.7,26.3,99.0,65.5,-0.31542115852356756,-7.84174963920134,56.00612639785884,-2.0941939603890085,-8.300881083782299,59.38773014513016,-2.001949624555183,-0.07859968913023929,1.3980251282599416,-2.399364734859928,1.1681741139829283,-2.582571871021703,-0.29063300547043497,-0.00670014394578855,0.9568111434354892,0.28975301921597574,-0.0025999598181911665,-0.9570979197888638,0.22561604969035395,0.055849384256272616,-0.9726141292415585,0.22366183453629027,0.052304655581096426,-0.9732623524910452
